probe_user,candidate_user,variant,face_score,voice_score,final_score,accepted,expected_match,correct
kacper,kacper,face_only,0.2086,0.9989,0.2086,False,True,False
kacper,kacper,voice_only,0.2086,0.9989,0.9989,True,True,True
kacper,kacper,fusion_50_50,0.2086,0.9989,0.6037,False,True,False
kacper,kacper,fusion_60_40,0.2086,0.9989,0.5247,False,True,False
kacper,kacper,fusion_70_30,0.2086,0.9989,0.4457,False,True,False
kacper,kamil,face_only,0.5298,0.9833,0.5298,False,False,True
kacper,kamil,voice_only,0.5298,0.9833,0.9833,True,False,False
kacper,kamil,fusion_50_50,0.5298,0.9833,0.7565,True,False,False
kacper,kamil,fusion_60_40,0.5298,0.9833,0.7112,True,False,False
kacper,kamil,fusion_70_30,0.5298,0.9833,0.6658,False,False,True
kacper,krystian,face_only,0.1517,0.9675,0.1517,False,False,True
kacper,krystian,voice_only,0.1517,0.9675,0.9675,True,False,False
kacper,krystian,fusion_50_50,0.1517,0.9675,0.5596,False,False,True
kacper,krystian,fusion_60_40,0.1517,0.9675,0.478,False,False,True
kacper,krystian,fusion_70_30,0.1517,0.9675,0.3964,False,False,True
kacper,marcel,face_only,0.1666,0.9701,0.1666,False,False,True
kacper,marcel,voice_only,0.1666,0.9701,0.9701,True,False,False
kacper,marcel,fusion_50_50,0.1666,0.9701,0.5684,False,False,True
kacper,marcel,fusion_60_40,0.1666,0.9701,0.488,False,False,True
kacper,marcel,fusion_70_30,0.1666,0.9701,0.4076,False,False,True
kamil,kacper,face_only,0.6429,0.9828,0.6429,False,False,True
kamil,kacper,voice_only,0.6429,0.9828,0.9828,True,False,False
kamil,kacper,fusion_50_50,0.6429,0.9828,0.8129,True,False,False
kamil,kacper,fusion_60_40,0.6429,0.9828,0.7789,True,False,False
kamil,kacper,fusion_70_30,0.6429,0.9828,0.7449,True,False,False
kamil,kamil,face_only,0.701,0.9965,0.701,True,True,True
kamil,kamil,voice_only,0.701,0.9965,0.9965,True,True,True
kamil,kamil,fusion_50_50,0.701,0.9965,0.8488,True,True,True
kamil,kamil,fusion_60_40,0.701,0.9965,0.8192,True,True,True
kamil,kamil,fusion_70_30,0.701,0.9965,0.7897,True,True,True
kamil,krystian,face_only,0.0883,0.9868,0.0883,False,False,True
kamil,krystian,voice_only,0.0883,0.9868,0.9868,True,False,False
kamil,krystian,fusion_50_50,0.0883,0.9868,0.5375,False,False,True
kamil,krystian,fusion_60_40,0.0883,0.9868,0.4477,False,False,True
kamil,krystian,fusion_70_30,0.0883,0.9868,0.3578,False,False,True
kamil,marcel,face_only,0.2526,0.9884,0.2526,False,False,True
kamil,marcel,voice_only,0.2526,0.9884,0.9884,True,False,False
